DATASET;PREPROCESS;CLASSIFIER_NAME;IDX_EXTERNAL;FEATURES_NUMBER;PARAMS;METRICS_DICT
CC;mRMR;LR;0;20;{'C': 100.0};{'AUC_SCORE': 0.6025437201907791, 'BAL_ACC': 0.5914149443561209}
CC;mRMR;LR;1;10;{'C': 10.0};{'AUC_SCORE': 0.6677265500794912, 'BAL_ACC': 0.6391096979332274}
CC;mRMR;LR;2;7;{'C': 100.0};{'AUC_SCORE': 0.6041335453100158, 'BAL_ACC': 0.5079491255961844}
CC;mRMR;LR;3;4;{'C': 100.0};{'AUC_SCORE': 0.34181240063593005, 'BAL_ACC': 0.3203497615262321}
CC;mRMR;LR;4;7;{'C': 10.0};{'AUC_SCORE': 0.6327503974562798, 'BAL_ACC': 0.6367249602543721}
CC;mRMR;LR;5;5;{'C': 100.0};{'AUC_SCORE': 0.6311605723370429, 'BAL_ACC': 0.6613672496025438}
CC;mRMR;LR;6;75;{'C': 10.0};{'AUC_SCORE': 0.6258169934640523, 'BAL_ACC': 0.5996732026143792}
CC;mRMR;LR;7;50;{'C': 100.0};{'AUC_SCORE': 0.5359477124183006, 'BAL_ACC': 0.4991830065359477}
CC;mRMR;LR;8;8;{'C': 10.0};{'AUC_SCORE': 0.5620915032679739, 'BAL_ACC': 0.5580065359477124}
CC;mRMR;LR;9;75;{'C': 100.0};{'AUC_SCORE': 0.6029411764705882, 'BAL_ACC': 0.5857843137254902}
CC;PCA;LR;0;5;{'C': 100.0};{'AUC_SCORE': 0.5739268680445151, 'BAL_ACC': 0.5508744038155803}
CC;PCA;LR;1;6;{'C': 0.1};{'AUC_SCORE': 0.6820349761526232, 'BAL_ACC': 0.5691573926868045}
CC;PCA;LR;2;4;{'C': 10.0};{'AUC_SCORE': 0.6089030206677265, 'BAL_ACC': 0.505564387917329}
CC;PCA;LR;3;4;{'C': 0.1};{'AUC_SCORE': 0.47217806041335453, 'BAL_ACC': 0.48330683624801274}
CC;PCA;LR;4;4;{'C': 0.1};{'AUC_SCORE': 0.6613672496025438, 'BAL_ACC': 0.6820349761526232}
CC;PCA;LR;5;15;{'C': 0.1};{'AUC_SCORE': 0.6263910969793322, 'BAL_ACC': 0.5914149443561209}
CC;PCA;LR;6;40;{'C': 1.0};{'AUC_SCORE': 0.5424836601307189, 'BAL_ACC': 0.5702614379084967}
CC;PCA;LR;7;15;{'C': 0.1};{'AUC_SCORE': 0.5522875816993464, 'BAL_ACC': 0.542483660130719}
CC;PCA;LR;8;4;{'C': 0.1};{'AUC_SCORE': 0.5947712418300654, 'BAL_ACC': 0.5874183006535948}
CC;PCA;LR;9;5;{'C': 1.0};{'AUC_SCORE': 0.6650326797385621, 'BAL_ACC': 0.5841503267973855}
CC;PLS;LR;0;3;{'C': 1.0};{'AUC_SCORE': 0.5898251192368839, 'BAL_ACC': 0.4626391096979332}
CC;PLS;LR;1;3;{'C': 0.01};{'AUC_SCORE': 0.6502384737678855, 'BAL_ACC': 0.5985691573926868}
CC;PLS;LR;2;2;{'C': 0.01};{'AUC_SCORE': 0.5627980922098569, 'BAL_ACC': 0.43561208267090623}
CC;PLS;LR;3;2;{'C': 0.01};{'AUC_SCORE': 0.465818759936407, 'BAL_ACC': 0.5103338632750398}
CC;PLS;LR;4;7;{'C': 0.1};{'AUC_SCORE': 0.5993640699523052, 'BAL_ACC': 0.6073131955484896}
CC;PLS;LR;5;3;{'C': 0.01};{'AUC_SCORE': 0.615262321144674, 'BAL_ACC': 0.6208267090620032}
CC;PLS;LR;6;6;{'C': 0.1};{'AUC_SCORE': 0.5326797385620915, 'BAL_ACC': 0.5441176470588236}
CC;PLS;LR;7;4;{'C': 0.01};{'AUC_SCORE': 0.5686274509803921, 'BAL_ACC': 0.5563725490196079}
CC;PLS;LR;8;2;{'C': 0.1};{'AUC_SCORE': 0.5669934640522877, 'BAL_ACC': 0.5612745098039216}
CC;PLS;LR;9;9;{'C': 0.1};{'AUC_SCORE': 0.6258169934640523, 'BAL_ACC': 0.5563725490196079}
CC;whole;LR;0;None;{'C': 1.0};{'AUC_SCORE': 0.6057233704292527, 'BAL_ACC': 0.6367249602543721}
CC;whole;LR;1;None;{'C': 1.0};{'AUC_SCORE': 0.6677265500794911, 'BAL_ACC': 0.6661367249602543}
CC;whole;LR;2;None;{'C': 1.0};{'AUC_SCORE': 0.6009538950715422, 'BAL_ACC': 0.4785373608903021}
CC;whole;LR;3;None;{'C': 1.0};{'AUC_SCORE': 0.43879173290938, 'BAL_ACC': 0.4538950715421304}
CC;whole;LR;4;None;{'C': 1.0};{'AUC_SCORE': 0.6597774244833068, 'BAL_ACC': 0.6208267090620032}
CC;whole;LR;5;None;{'C': 1.0};{'AUC_SCORE': 0.6200317965023847, 'BAL_ACC': 0.6184419713831479}
CC;whole;LR;6;None;{'C': 10.0};{'AUC_SCORE': 0.44771241830065356, 'BAL_ACC': 0.41094771241830064}
CC;whole;LR;7;None;{'C': 1.0};{'AUC_SCORE': 0.5098039215686274, 'BAL_ACC': 0.48366013071895425}
CC;whole;LR;8;None;{'C': 1.0};{'AUC_SCORE': 0.5669934640522876, 'BAL_ACC': 0.5441176470588236}
